Date,Close,High,Low,Open,Volume,Return,MA10,MA50,Volatility,Price_Change,Volume_Change,Trend,Target
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,
2016-03-15,23.685325622558594,23.821213545524536,23.519994135545762,23.544907123012198,160270800,0.0200938560490016,23.0967041015625,22.1668953704834,0.009657462988221859,0.14041849954639574,0.5978441623697466,0.9298087310791026,1
2016-03-16,24.000137329101562,24.07713986478873,23.687593153195106,23.692123730534927,153214000,0.013291424047095823,23.21492691040039,22.172279090881347,0.010056165021103033,0.30801359856663524,-0.04403047841528218,1.0426478195190434,0
2016-03-17,23.961637496948242,24.113379016653425,23.771392979183542,23.898221505753956,137682800,-0.001604150494032286,23.31231346130371,22.188786544799804,0.010228351843509995,0.06341599119428665,-0.1013693265628467,1.1235269165039057,1
2016-03-18,23.98881721496582,24.120176336473016,23.823487396438928,24.083938622439593,176820800,0.0011343013607079122,23.378219985961913,22.214892959594728,0.00953487277907432,-0.09512140747377273,0.28426208647703266,1.1633270263671847,0
2016-03-21,23.98654556274414,24.38062106642876,23.81215464662429,23.991074411516013,142010800,-9.469629958502868e-05,23.469717979431152,22.26010097503662,0.008310689785421007,-0.004528848771872873,-0.19686597956801466,1.2096170043945307,1
2016-03-22,24.169992446899414,24.299086226519456,23.828006504151766,23.837065928955983,129777600,0.007647907602010173,23.59858570098877,22.306680183410645,0.007164624643896025,0.33292651794343087,-0.08614274407298594,1.291905517578126,0
2016-03-23,24.0363712310791,24.249263422019336,23.98428169153553,24.115640776494775,102814000,-0.0055283929489788886,23.71205234527588,22.343513946533204,0.007877308578408106,-0.07926954541567355,-0.2077677503667813,1.3685383987426754,0
2016-03-24,23.932193756103516,24.063552859351564,23.755539244519138,23.886898347767186,104532000,-0.004334159843599195,23.813968658447266,22.3718217086792,0.008311687679247289,0.0452954083363295,0.01670978660493705,1.4421469497680661,0
2016-03-28,23.823482513427734,24.049962995987833,23.79403894483319,24.00693115137055,77645600,-0.004542468767538499,23.880327415466308,22.40953353881836,0.008415594024379872,-0.18344863794281707,-0.25720736233880537,1.4707938766479494,1
2016-03-29,24.38741683959961,24.412329829288048,23.75327083865382,23.755536127146087,124760400,0.023671363993657213,23.997192001342775,22.44892807006836,0.010675741432769921,0.6318807124535226,0.606792915503261,1.5482639312744162,1
2016-03-30,24.813201904296875,25.007975263716304,24.595780841484046,24.607105557135252,182404400,0.017459211342379044,24.1099796295166,22.50760559082031,0.010286543386575956,0.20609634716162262,0.4620376337363459,1.60237403869629,0
2016-03-31,24.68410873413086,24.89020681454409,24.65919574137961,24.849440256215598,103553600,-0.005202600239337163,24.178376770019533,22.565818634033203,0.010234657582926491,-0.16533152208473822,-0.4322856246888781,1.6125581359863297,1
2016-04-01,24.910593032836914,24.912858321953518,24.505192676430553,24.636551798644543,103496000,0.009175307933759536,24.2732723236084,22.627975730895997,0.010279727238305334,0.2740412341923708,-0.0005562336799492806,1.645296592712402,1
2016-04-04,25.166515350341797,25.408849431326896,24.974005531017948,25.007977953716814,149424800,0.010273634078784344,24.391042137145995,22.69745880126953,0.010408177166521667,0.15853739662498256,0.44377367241246035,1.6935833358764647,0
2016-04-05,24.86981773376465,25.078181061580132,24.781490496240938,24.80187463531264,106314800,-0.01178938015243014,24.479369354248046,22.737941513061525,0.011613079207063478,0.06794309845200885,-0.2885063255898619,1.7414278411865212,1
2016-04-06,25.13027572631836,25.13480630388501,24.7316695679972,24.96494593122594,105616400,0.010472854901550033,24.57539768218994,22.79255355834961,0.011753750435041137,0.1653297950924184,-0.006569170049701478,1.7828441238403308,0
2016-04-07,24.582191467285156,25.00797414695786,24.487070080535233,24.90152804506245,127207600,-0.02180971928052533,24.62997970581055,22.833726081848145,0.014107038496649063,-0.3193365777772925,0.20443037255577723,1.7962536239624036,1
